number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
113,0.0004486901161726564,2025-07-17 16:40:38.609988,2025-07-17 16:41:11.933309,0 days 00:00:33.323321,64,104,0.0010842351627224586,8,COMPLETE
114,0.0010462080826982856,2025-07-17 16:41:11.933939,2025-07-17 16:42:03.958546,0 days 00:00:52.024607,32,124,0.00012655949413447018,7,COMPLETE
115,0.003926884848624468,2025-07-17 16:42:03.958954,2025-07-17 16:42:44.901462,0 days 00:00:40.942508,64,99,2.7796743838439024e-05,12,COMPLETE
116,0.00023055999190546572,2025-07-17 16:42:44.902118,2025-07-17 16:43:43.293232,0 days 00:00:58.391114,32,114,0.0030153990247893604,12,COMPLETE
117,0.00026249373331665993,2025-07-17 16:43:43.293843,2025-07-17 16:44:38.681028,0 days 00:00:55.387185,32,117,0.0020051277378554722,9,COMPLETE
118,0.0002457483788020909,2025-07-17 16:44:38.681671,2025-07-17 16:45:23.456438,0 days 00:00:44.774767,32,101,0.0013273910776329103,6,COMPLETE
119,0.0004703830636572093,2025-07-17 16:45:23.456875,2025-07-17 16:46:23.550954,0 days 00:01:00.094079,128,110,0.0009630070567047968,17,COMPLETE
120,0.00014519235992338508,2025-07-17 16:46:23.551595,2025-07-17 16:47:46.987069,0 days 00:01:23.435474,32,106,0.0024917586709609424,25,COMPLETE
121,0.0002340249193366617,2025-07-17 16:47:46.987945,2025-07-17 16:49:08.808389,0 days 00:01:21.820444,32,105,0.002381506259160781,25,COMPLETE
122,0.00017804889648687094,2025-07-17 16:49:08.809243,2025-07-17 16:50:41.968048,0 days 00:01:33.158805,32,119,0.0018205803812947233,24,COMPLETE
123,0.00019802515453193337,2025-07-17 16:50:41.968910,2025-07-17 16:52:15.797696,0 days 00:01:33.828786,32,128,0.001765810773131641,25,COMPLETE
124,0.00013105642574373633,2025-07-17 16:52:15.798572,2025-07-17 16:53:47.444859,0 days 00:01:31.646287,32,118,0.002757479529928003,24,COMPLETE
125,0.00021188511163927615,2025-07-17 16:53:47.445730,2025-07-17 16:55:20.037687,0 days 00:01:32.591957,32,119,0.0033305419633105275,24,COMPLETE
126,0.00023348913236986846,2025-07-17 16:55:20.038561,2025-07-17 16:56:40.426373,0 days 00:01:20.387812,32,107,0.002717387806743099,23,COMPLETE
127,0.00013184388808440417,2025-07-17 16:56:40.427225,2025-07-17 16:58:12.564609,0 days 00:01:32.137384,32,122,0.003816985696496002,24,COMPLETE
128,0.00017843286332208663,2025-07-17 16:58:12.565471,2025-07-17 16:59:46.661982,0 days 00:01:34.096511,32,124,0.006183944137636244,24,COMPLETE
129,0.0002714841684792191,2025-07-17 16:59:46.662802,2025-07-17 17:01:19.477855,0 days 00:01:32.815053,32,125,0.008074026322886807,23,COMPLETE
130,0.00023397560289595276,2025-07-17 17:01:19.478827,2025-07-17 17:02:52.755625,0 days 00:01:33.276798,32,123,0.0074588054793999535,24,COMPLETE
131,0.0002433301560813561,2025-07-17 17:02:52.756446,2025-07-17 17:04:24.203770,0 days 00:01:31.447324,32,120,0.005859498277553851,25,COMPLETE
132,0.00027907142066396773,2025-07-17 17:04:24.204632,2025-07-17 17:05:52.715338,0 days 00:01:28.510706,32,116,0.004106751826598346,24,COMPLETE
133,0.0002050085022347048,2025-07-17 17:05:52.716177,2025-07-17 17:07:30.525268,0 days 00:01:37.809091,32,126,0.0048605062211204845,25,COMPLETE
134,0.00015769600577186793,2025-07-17 17:07:30.526131,2025-07-17 17:08:57.628227,0 days 00:01:27.102096,32,121,0.003704423794687109,23,COMPLETE
135,0.00019144362886436284,2025-07-17 17:08:57.629091,2025-07-17 17:10:26.592332,0 days 00:01:28.963241,32,121,0.0036231252032070498,23,COMPLETE
136,0.00019293741206638515,2025-07-17 17:10:26.593199,2025-07-17 17:11:57.558754,0 days 00:01:30.965555,32,118,0.006163259117741418,24,COMPLETE
137,0.00025610378361307085,2025-07-17 17:11:57.559633,2025-07-17 17:13:30.494006,0 days 00:01:32.934373,32,128,0.00903872957826252,24,COMPLETE
138,0.00024182553170248866,2025-07-17 17:13:30.494877,2025-07-17 17:14:48.323767,0 days 00:01:17.828890,32,112,0.007091512828194764,22,COMPLETE
139,0.000161531672347337,2025-07-17 17:14:48.324590,2025-07-17 17:16:24.152498,0 days 00:01:35.827908,32,124,0.004601789220369497,25,COMPLETE
140,0.0002962718717753887,2025-07-17 17:16:24.153361,2025-07-17 17:17:59.360737,0 days 00:01:35.207376,32,123,0.004447632174531343,25,COMPLETE
141,0.00010745260078692809,2025-07-17 17:17:59.361605,2025-07-17 17:19:35.788623,0 days 00:01:36.427018,32,125,0.003421106284736158,25,COMPLETE
142,0.00025922025088220835,2025-07-17 17:19:35.789451,2025-07-17 17:21:12.559636,0 days 00:01:36.770185,32,125,0.005389691008041802,25,COMPLETE
143,0.0002565881877671927,2025-07-17 17:21:12.648554,2025-07-17 17:22:43.676525,0 days 00:01:31.027971,32,121,0.0037655203556356247,24,COMPLETE
144,0.00020584501908160746,2025-07-17 17:22:43.677351,2025-07-17 17:24:17.617030,0 days 00:01:33.939679,32,118,0.0031859546584527623,25,COMPLETE
145,9.501523163635284e-05,2025-07-17 17:24:17.617892,2025-07-17 17:25:54.495110,0 days 00:01:36.877218,32,126,0.0028186865381464943,24,COMPLETE
146,0.00028040161123499274,2025-07-17 17:25:54.495956,2025-07-17 17:27:24.555991,0 days 00:01:30.060035,32,128,0.002736680964744403,23,COMPLETE
147,0.00012063119356753305,2025-07-17 17:27:24.556869,2025-07-17 17:28:57.737605,0 days 00:01:33.180736,32,121,0.004011493956063236,25,COMPLETE
