number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_size_layers,state
135,0.0003783714200835675,2025-07-12 17:04:06.555305,2025-07-12 17:04:21.092846,0 days 00:00:14.537541,identity,16,0.0004274851382832697,1,104,COMPLETE
136,0.0003610314161051065,2025-07-12 17:04:21.093420,2025-07-12 17:04:35.656420,0 days 00:00:14.563000,identity,16,0.000517491542729884,1,108,COMPLETE
137,0.0004157684452366084,2025-07-12 17:04:35.656802,2025-07-12 17:04:50.241875,0 days 00:00:14.585073,identity,16,0.0007075719188088005,1,122,COMPLETE
138,0.0005095369997434318,2025-07-12 17:04:50.242470,2025-07-12 17:04:58.827611,0 days 00:00:08.585141,identity,32,0.0005843189619638093,1,117,COMPLETE
139,0.0003581988567020744,2025-07-12 17:04:58.828168,2025-07-12 17:05:13.382443,0 days 00:00:14.554275,identity,16,0.0005136527623781003,1,115,COMPLETE
140,0.000393975613405928,2025-07-12 17:05:13.382834,2025-07-12 17:05:27.966315,0 days 00:00:14.583481,identity,16,0.0009052788267548396,1,111,COMPLETE
141,0.0003594803565647453,2025-07-12 17:05:27.966935,2025-07-12 17:05:42.589280,0 days 00:00:14.622345,identity,16,0.0004507685295990227,1,124,COMPLETE
142,0.0003587334358599037,2025-07-12 17:05:42.589890,2025-07-12 17:05:57.151847,0 days 00:00:14.561957,identity,16,0.0006543231939564669,1,125,COMPLETE
143,0.0003613823791965842,2025-07-12 17:05:57.152205,2025-07-12 17:06:26.791400,0 days 00:00:29.639195,identity,16,0.0004914790364512646,4,120,COMPLETE
144,0.00035861777723766863,2025-07-12 17:06:26.792045,2025-07-12 17:06:41.362803,0 days 00:00:14.570758,identity,16,0.0007437891652385687,1,118,COMPLETE
145,0.0005119335255585611,2025-07-12 17:06:41.363344,2025-07-12 17:06:44.998006,0 days 00:00:03.634662,identity,128,0.0005787600197220249,1,126,COMPLETE
146,0.00035795316216535866,2025-07-12 17:06:44.998352,2025-07-12 17:06:59.547757,0 days 00:00:14.549405,identity,16,0.00036111562013230647,1,122,COMPLETE
147,0.00865423958748579,2025-07-12 17:06:59.548180,2025-07-12 17:07:14.821650,0 days 00:00:15.273470,relu,16,0.000812443208720713,1,98,COMPLETE
148,0.00039658547029830515,2025-07-12 17:07:14.822005,2025-07-12 17:07:29.367543,0 days 00:00:14.545538,identity,16,0.0003099337916346164,1,113,COMPLETE
149,0.0003585392842069268,2025-07-12 17:07:29.368148,2025-07-12 17:07:43.897677,0 days 00:00:14.529529,identity,16,0.0006349162458159796,1,102,COMPLETE
150,0.0003770074690692127,2025-07-12 17:07:43.898274,2025-07-12 17:07:58.450273,0 days 00:00:14.551999,identity,16,0.0011115921376736854,1,106,COMPLETE
151,0.0003621406794991344,2025-07-12 17:07:58.450868,2025-07-12 17:08:13.040618,0 days 00:00:14.589750,identity,16,0.0003876000670525116,1,122,COMPLETE
152,0.0003602328069973737,2025-07-12 17:08:13.041002,2025-07-12 17:08:27.574778,0 days 00:00:14.533776,identity,16,0.0003673157125462484,1,120,COMPLETE
153,0.00037598618655465543,2025-07-12 17:08:27.575360,2025-07-12 17:08:42.158115,0 days 00:00:14.582755,identity,16,0.0002850944429191312,1,127,COMPLETE
154,0.00035959974047727883,2025-07-12 17:08:42.158725,2025-07-12 17:08:56.739175,0 days 00:00:14.580450,identity,16,0.0006977635000341773,1,123,COMPLETE
155,0.0003632954612839967,2025-07-12 17:08:56.739555,2025-07-12 17:09:11.286193,0 days 00:00:14.546638,identity,16,0.0005353691716260315,1,109,COMPLETE
156,0.00035888125421479344,2025-07-12 17:09:11.286780,2025-07-12 17:09:25.897435,0 days 00:00:14.610655,identity,16,0.0004370679193200287,1,116,COMPLETE
157,0.00035947011201642454,2025-07-12 17:09:25.898040,2025-07-12 17:09:40.379726,0 days 00:00:14.481686,identity,16,0.000858296837592651,1,72,COMPLETE
158,0.000406311999540776,2025-07-12 17:09:40.380368,2025-07-12 17:09:54.939835,0 days 00:00:14.559467,identity,16,0.00021154078663894427,1,114,COMPLETE
159,0.0004946112749166787,2025-07-12 17:09:54.940221,2025-07-12 17:10:00.231669,0 days 00:00:05.291448,identity,64,0.0006284991091266583,1,119,COMPLETE
160,0.0004623850982170552,2025-07-12 17:10:00.232233,2025-07-12 17:10:14.802897,0 days 00:00:14.570664,identity,16,0.0010108880534504849,1,128,COMPLETE
161,0.00039784060209058225,2025-07-12 17:10:14.803290,2025-07-12 17:10:29.348727,0 days 00:00:14.545437,identity,16,0.00048478008275207904,1,110,COMPLETE
162,0.00037520789192058146,2025-07-12 17:10:29.349357,2025-07-12 17:10:53.482642,0 days 00:00:24.133285,identity,16,0.0005599666274011502,3,112,COMPLETE
163,0.00035890183062292635,2025-07-12 17:10:53.483231,2025-07-12 17:11:08.023748,0 days 00:00:14.540517,identity,16,0.0005083832676399697,1,105,COMPLETE
164,0.000357691926183179,2025-07-12 17:11:08.024198,2025-07-12 17:11:22.579460,0 days 00:00:14.555262,identity,16,0.0006757994433252056,1,108,COMPLETE
165,0.0003614742308855057,2025-07-12 17:11:22.580041,2025-07-12 17:11:37.130152,0 days 00:00:14.550111,identity,16,0.0007496938910711949,1,107,COMPLETE
