number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
89,0.0005811955197714269,2025-07-17 16:58:55.227521,2025-07-17 17:00:20.788173,0 days 00:01:25.560652,prod,16,0.007871842088480076,7,10,gaussian,COMPLETE
90,2.4612927436828613,2025-07-17 17:00:20.789145,2025-07-17 17:00:38.566053,0 days 00:00:17.776908,prod,128,0.0065366888860912895,9,9,gaussian,COMPLETE
91,0.00040372551302425563,2025-07-17 17:00:38.566527,2025-07-17 17:02:07.756752,0 days 00:01:29.190225,prod,16,0.009939523529082742,8,11,gaussian,COMPLETE
92,0.0023407551925629377,2025-07-17 17:02:07.757706,2025-07-17 17:03:37.170408,0 days 00:01:29.412702,prod,16,0.009999792169385265,8,11,gaussian,COMPLETE
93,0.0006269596051424742,2025-07-17 17:03:37.171346,2025-07-17 17:05:11.843875,0 days 00:01:34.672529,prod,16,0.008371020546195493,8,14,gaussian,COMPLETE
94,0.09202674776315689,2025-07-17 17:05:11.844797,2025-07-17 17:06:37.862179,0 days 00:01:26.017382,prod,16,0.007324642077970335,8,10,gaussian,COMPLETE
95,0.027098527178168297,2025-07-17 17:06:37.863118,2025-07-17 17:08:06.388735,0 days 00:01:28.525617,prod,16,0.005701105522325503,8,12,gaussian,COMPLETE
96,0.001730839954689145,2025-07-17 17:08:06.389684,2025-07-17 17:09:23.153516,0 days 00:01:16.763832,prod,16,0.004874753206032103,8,7,gaussian,COMPLETE
97,0.06908364593982697,2025-07-17 17:09:23.154497,2025-07-17 17:10:53.126195,0 days 00:01:29.971698,prod,16,0.0085003683177988,8,13,sigmoid,COMPLETE
98,0.025929797440767288,2025-07-17 17:10:53.127151,2025-07-17 17:12:21.405813,0 days 00:01:28.278662,prod,16,0.0031885722479329127,7,11,gaussian,COMPLETE
99,0.010569024831056595,2025-07-17 17:12:21.406851,2025-07-17 17:13:44.833468,0 days 00:01:23.426617,prod,16,0.0008397543732654669,8,9,gaussian,COMPLETE
100,0.09631523489952087,2025-07-17 17:13:44.834422,2025-07-17 17:15:21.694316,0 days 00:01:36.859894,prod,16,0.004345496976990263,7,15,gaussian,COMPLETE
101,1.117025375366211,2025-07-17 17:15:21.695315,2025-07-17 17:16:46.542768,0 days 00:01:24.847453,min,16,0.0086187647827753,8,10,gaussian,COMPLETE
102,0.0007315173279494047,2025-07-17 17:16:46.543776,2025-07-17 17:18:14.162987,0 days 00:01:27.619211,min,16,0.007144511559297986,8,12,gaussian,COMPLETE
103,0.08484606444835663,2025-07-17 17:18:14.163944,2025-07-17 17:19:28.247157,0 days 00:01:14.083213,min,16,0.009942653442051553,8,7,sigmoid,COMPLETE
104,0.005360970739275217,2025-07-17 17:19:28.248302,2025-07-17 17:21:00.444858,0 days 00:01:32.196556,min,16,0.006153513565585947,8,11,bell,COMPLETE
105,1.2133387327194214,2025-07-17 17:21:00.445833,2025-07-17 17:22:14.828343,0 days 00:01:14.382510,min,32,0.00029201810511171383,8,22,bell,COMPLETE
106,0.415130615234375,2025-07-17 17:22:14.829261,2025-07-17 17:23:42.151255,0 days 00:01:27.321994,min,16,0.008365503719909354,6,13,gaussian,COMPLETE
107,1.9373302459716797,2025-07-17 17:23:42.152239,2025-07-17 17:24:17.842208,0 days 00:00:35.689969,prod,64,4.543359370810143e-05,8,14,bell,COMPLETE
108,0.013953284360468388,2025-07-17 17:24:17.842861,2025-07-17 17:26:11.353061,0 days 00:01:53.510200,prod,16,0.0073012499295193834,9,19,gaussian,COMPLETE
109,0.3996960520744324,2025-07-17 17:26:11.354016,2025-07-17 17:27:39.457007,0 days 00:01:28.102991,min,16,0.00021681207280332786,7,10,bell,COMPLETE
110,0.0016102822264656425,2025-07-17 17:27:39.457969,2025-07-17 17:29:12.996821,0 days 00:01:33.538852,prod,16,0.005791862999957169,8,11,bell,COMPLETE
111,0.01616326905786991,2025-07-17 17:29:12.997808,2025-07-17 17:30:41.344706,0 days 00:01:28.346898,prod,16,0.007072861916980497,7,12,gaussian,COMPLETE
112,0.4650857746601105,2025-07-17 17:30:41.345646,2025-07-17 17:32:18.403357,0 days 00:01:37.057711,prod,16,0.008845989778633124,6,16,gaussian,COMPLETE
113,0.009945298545062542,2025-07-17 17:32:18.404280,2025-07-17 17:33:46.561427,0 days 00:01:28.157147,prod,16,0.006603565055236477,7,12,gaussian,COMPLETE
114,2.1497344970703125,2025-07-17 17:33:46.562403,2025-07-17 17:35:20.895072,0 days 00:01:34.332669,prod,16,0.00041725589737525256,8,14,gaussian,COMPLETE
115,0.013538812287151814,2025-07-17 17:35:20.895994,2025-07-17 17:35:40.768089,0 days 00:00:19.872095,prod,128,0.008744115260474155,7,12,gaussian,COMPLETE
116,0.3740321397781372,2025-07-17 17:35:40.768756,2025-07-17 17:37:16.824629,0 days 00:01:36.055873,min,16,0.00010003879255441312,8,15,gaussian,COMPLETE
117,0.0014209976652637124,2025-07-17 17:37:16.825590,2025-07-17 17:38:49.787683,0 days 00:01:32.962093,prod,16,0.0050381367958266966,7,11,bell,COMPLETE
118,0.00043032519170083106,2025-07-17 17:38:49.788669,2025-07-17 17:40:17.824823,0 days 00:01:28.036154,prod,16,0.009981979527697443,6,13,gaussian,COMPLETE
119,0.0004233132931403816,2025-07-17 17:40:17.825797,2025-07-17 17:41:48.663860,0 days 00:01:30.838063,min,16,0.009932683742768676,6,13,bell,COMPLETE
120,0.004901526030153036,2025-07-17 17:41:48.664854,2025-07-17 17:43:14.174990,0 days 00:01:25.510136,min,16,0.009941345295802448,6,13,sigmoid,COMPLETE
121,0.0010193916969001293,2025-07-17 17:43:14.175954,2025-07-17 17:44:45.112155,0 days 00:01:30.936201,min,16,0.007907446670644584,6,13,bell,COMPLETE
122,0.000367309752618894,2025-07-17 17:44:45.113170,2025-07-17 17:46:16.048756,0 days 00:01:30.935586,min,16,0.008959174869365167,6,13,bell,COMPLETE
123,0.0008733170689083636,2025-07-17 17:46:16.049744,2025-07-17 17:47:46.969480,0 days 00:01:30.919736,min,16,0.007664301718845836,6,13,bell,COMPLETE
124,0.0003383157018106431,2025-07-17 17:47:46.970439,2025-07-17 17:49:20.987586,0 days 00:01:34.017147,min,16,0.009010189231648218,6,14,bell,COMPLETE
125,0.15435370802879333,2025-07-17 17:49:20.988525,2025-07-17 17:50:55.373214,0 days 00:01:34.384689,min,16,0.0063211875879188376,6,14,bell,COMPLETE
126,0.0951119065284729,2025-07-17 17:50:55.374167,2025-07-17 17:52:29.773414,0 days 00:01:34.399247,min,16,0.008901003872101713,6,14,bell,COMPLETE
127,0.008901513181626797,2025-07-17 17:52:29.774380,2025-07-17 17:54:00.861304,0 days 00:01:31.086924,min,16,0.005502486357428538,6,13,bell,COMPLETE
128,0.00040895110578276217,2025-07-17 17:54:00.862256,2025-07-17 17:55:35.317558,0 days 00:01:34.455302,min,16,0.0072460103201703934,6,14,bell,COMPLETE
129,0.01452457532286644,2025-07-17 17:55:35.318567,2025-07-17 17:56:34.158110,0 days 00:00:58.839543,min,32,0.007510865762924606,6,15,bell,COMPLETE
130,0.005699134431779385,2025-07-17 17:56:34.159028,2025-07-17 17:58:05.176275,0 days 00:01:31.017247,min,16,0.003979048394619262,6,12,bell,COMPLETE
131,0.008525987155735493,2025-07-17 17:58:05.177279,2025-07-17 17:59:40.026280,0 days 00:01:34.849001,min,16,0.009998082037669003,6,14,bell,COMPLETE
