number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
97,0.18368476629257202,2025-07-17 16:25:25.641282,2025-07-17 16:26:33.905190,0 days 00:01:08.263908,prod,16,0.005475096001952128,7,7,sigmoid,COMPLETE
98,0.00043221545638516545,2025-07-17 16:26:33.905828,2025-07-17 16:27:45.672889,0 days 00:01:11.767061,min,16,0.00843724566764564,6,17,gaussian,COMPLETE
99,0.09951665252447128,2025-07-17 16:27:45.673702,2025-07-17 16:28:56.640009,0 days 00:01:10.966307,min,16,0.00994392827097102,6,16,gaussian,COMPLETE
100,0.002585373818874359,2025-07-17 16:28:56.640843,2025-07-17 16:30:08.169381,0 days 00:01:11.528538,min,16,0.008285626689009545,6,17,gaussian,COMPLETE
101,0.052736327052116394,2025-07-17 16:30:08.170225,2025-07-17 16:31:21.299614,0 days 00:01:13.129389,min,16,0.002171298553264928,6,19,gaussian,COMPLETE
102,0.0072242519818246365,2025-07-17 16:31:21.300473,2025-07-17 16:32:30.445130,0 days 00:01:09.144657,min,16,0.006914241558741656,6,11,gaussian,COMPLETE
103,0.00038357259472832084,2025-07-17 16:32:30.446010,2025-07-17 16:33:49.914667,0 days 00:01:19.468657,min,16,0.007905468239984963,7,23,gaussian,COMPLETE
104,0.0004493938758969307,2025-07-17 16:33:49.915535,2025-07-17 16:35:09.313935,0 days 00:01:19.398400,min,16,0.008158534192250213,7,23,gaussian,COMPLETE
105,0.17021526396274567,2025-07-17 16:35:09.314832,2025-07-17 16:35:40.667839,0 days 00:00:31.353007,min,64,0.006203640628982086,7,22,gaussian,COMPLETE
106,0.13838407397270203,2025-07-17 16:35:40.668464,2025-07-17 16:37:00.195761,0 days 00:01:19.527297,min,16,0.007460799182315568,7,23,gaussian,COMPLETE
107,0.000665348197799176,2025-07-17 16:37:00.196622,2025-07-17 16:38:24.943494,0 days 00:01:24.746872,min,16,0.005277374210867022,7,24,bell,COMPLETE
108,0.014879285357892513,2025-07-17 16:38:24.944386,2025-07-17 16:39:06.535676,0 days 00:00:41.591290,min,32,0.00881892201038679,8,20,gaussian,COMPLETE
109,0.0005528577603399754,2025-07-17 16:39:06.536321,2025-07-17 16:40:25.240631,0 days 00:01:18.704310,min,16,0.006762838279465725,7,22,gaussian,COMPLETE
110,0.11205517500638962,2025-07-17 16:40:25.241499,2025-07-17 16:41:35.274488,0 days 00:01:10.032989,min,16,0.004581278543426082,7,9,gaussian,COMPLETE
111,0.09904665499925613,2025-07-17 16:41:35.275324,2025-07-17 16:42:54.171406,0 days 00:01:18.896082,min,16,0.007938253257108233,7,22,gaussian,COMPLETE
112,0.05273064970970154,2025-07-17 16:42:54.172266,2025-07-17 16:44:13.812298,0 days 00:01:19.640032,min,16,0.008554575440776176,7,23,gaussian,COMPLETE
113,1.9513390064239502,2025-07-17 16:44:13.813165,2025-07-17 16:45:33.338178,0 days 00:01:19.525013,min,16,1.6320894278220486e-05,7,23,gaussian,COMPLETE
114,0.0016013699350878596,2025-07-17 16:45:33.339020,2025-07-17 16:46:54.452077,0 days 00:01:21.113057,min,16,0.005636483436056032,7,25,gaussian,COMPLETE
115,0.005088534206151962,2025-07-17 16:46:54.452897,2025-07-17 16:48:12.282828,0 days 00:01:17.829931,min,16,0.007454376334939019,7,21,gaussian,COMPLETE
116,0.0006661989609710872,2025-07-17 16:48:12.283700,2025-07-17 16:49:29.282390,0 days 00:01:16.998690,min,16,0.006207949561844189,6,24,gaussian,COMPLETE
117,0.10656579583883286,2025-07-17 16:49:29.283263,2025-07-17 16:50:37.774479,0 days 00:01:08.491216,prod,16,0.009044622798910192,6,12,gaussian,COMPLETE
118,0.26314616203308105,2025-07-17 16:50:37.775392,2025-07-17 16:50:55.814759,0 days 00:00:18.039367,min,128,0.003959886771244997,7,14,sigmoid,COMPLETE
119,0.0023875278420746326,2025-07-17 16:50:55.815232,2025-07-17 16:52:15.110080,0 days 00:01:19.294848,min,16,0.0052315134800773,7,23,gaussian,COMPLETE
120,0.7161359786987305,2025-07-17 16:52:15.110952,2025-07-17 16:53:23.665600,0 days 00:01:08.554648,min,16,0.003078284037920609,6,10,gaussian,COMPLETE
121,0.0008094422519207001,2025-07-17 16:53:23.666469,2025-07-17 16:54:32.735036,0 days 00:01:09.068567,min,16,0.006819571456632963,6,11,gaussian,COMPLETE
122,0.0006960260216146708,2025-07-17 16:54:32.735872,2025-07-17 16:55:40.179574,0 days 00:01:07.443702,min,16,0.009816931477097373,6,12,gaussian,COMPLETE
123,0.00725454930216074,2025-07-17 16:55:40.180425,2025-07-17 16:56:55.088546,0 days 00:01:14.908121,min,16,0.0043580076021015185,6,21,gaussian,COMPLETE
124,0.7625206708908081,2025-07-17 16:56:55.089425,2025-07-17 16:58:08.166945,0 days 00:01:13.077520,min,16,0.00026424191663977295,6,19,gaussian,COMPLETE
