number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
83,0.011735805310308933,2025-07-13 15:50:26.691067,2025-07-13 15:50:55.644478,0 days 00:00:28.953411,relu,min,32,0.008119627972157607,6,12,gaussian,COMPLETE
84,0.0045950328931212425,2025-07-13 15:50:55.645094,2025-07-13 15:51:24.876608,0 days 00:00:29.231514,relu,min,32,0.007950150662043666,6,13,gaussian,COMPLETE
85,0.4702838063240051,2025-07-13 15:51:24.877084,2025-07-13 15:51:54.950241,0 days 00:00:30.073157,relu,min,32,0.00739452915243946,6,15,gaussian,COMPLETE
86,0.7368048429489136,2025-07-13 15:51:54.950849,2025-07-13 15:52:23.353613,0 days 00:00:28.402764,relu,min,32,0.005451518149521106,5,13,gaussian,COMPLETE
87,0.0003733944322448224,2025-07-13 15:52:23.354250,2025-07-13 15:52:53.621898,0 days 00:00:30.267648,relu,min,32,0.009939904999301617,7,12,gaussian,COMPLETE
88,0.00498344749212265,2025-07-13 15:52:53.622354,2025-07-13 15:53:23.093248,0 days 00:00:29.470894,identity,min,32,0.009532731237739872,6,14,gaussian,COMPLETE
89,0.015759794041514397,2025-07-13 15:53:23.093887,2025-07-13 15:53:52.502096,0 days 00:00:29.408209,identity,min,32,0.009511613415124916,6,14,gaussian,COMPLETE
90,0.0055502112954854965,2025-07-13 15:53:52.502693,2025-07-13 15:54:21.526909,0 days 00:00:29.024216,identity,min,32,0.006890358470063565,6,13,gaussian,COMPLETE
91,0.00040528105455450714,2025-07-13 15:54:21.527543,2025-07-13 15:54:50.628717,0 days 00:00:29.101174,identity,min,32,0.006920425060180877,6,13,gaussian,COMPLETE
92,0.026715094223618507,2025-07-13 15:54:50.629198,2025-07-13 15:55:20.792318,0 days 00:00:30.163120,identity,min,32,0.009991416111367377,6,16,gaussian,COMPLETE
93,0.05888283625245094,2025-07-13 15:55:20.792930,2025-07-13 15:55:50.226688,0 days 00:00:29.433758,identity,min,32,0.008248005433760948,6,14,gaussian,COMPLETE
94,0.006484383251518011,2025-07-13 15:55:50.227297,2025-07-13 15:56:20.030288,0 days 00:00:29.802991,identity,min,32,0.007121540986458432,6,15,gaussian,COMPLETE
95,0.6864223480224609,2025-07-13 15:56:20.030927,2025-07-13 15:56:48.820165,0 days 00:00:28.789238,identity,min,32,0.006492964568575517,6,12,gaussian,COMPLETE
96,0.2787279784679413,2025-07-13 15:56:48.820638,2025-07-13 15:57:17.966115,0 days 00:00:29.145477,identity,min,32,0.008468948035914045,6,13,gaussian,COMPLETE
97,0.0004102349339518696,2025-07-13 15:57:17.966752,2025-07-13 15:57:47.400115,0 days 00:00:29.433363,identity,min,32,0.007714838965572576,5,11,gaussian,COMPLETE
98,0.11770311743021011,2025-07-13 15:57:47.400715,2025-07-13 15:58:16.911361,0 days 00:00:29.510646,identity,min,32,0.007739424288453786,5,11,gaussian,COMPLETE
99,0.41055360436439514,2025-07-13 15:58:16.912004,2025-07-13 15:58:44.881263,0 days 00:00:27.969259,identity,min,32,0.006576140794633315,5,12,gaussian,COMPLETE
100,1.2264878749847412,2025-07-13 15:58:44.881734,2025-07-13 15:59:13.130515,0 days 00:00:28.248781,identity,min,32,0.00015598764254544766,5,13,gaussian,COMPLETE
101,0.6202725768089294,2025-07-13 15:59:13.131123,2025-07-13 15:59:44.848812,0 days 00:00:31.717689,identity,min,32,0.00896043521578174,7,11,gaussian,COMPLETE
102,0.8391096591949463,2025-07-13 15:59:44.849456,2025-07-13 16:00:14.933100,0 days 00:00:30.083644,identity,min,32,0.009081014993249108,7,12,gaussian,COMPLETE
103,0.04168511927127838,2025-07-13 16:00:14.933564,2025-07-13 16:00:44.250637,0 days 00:00:29.317073,identity,min,32,0.007330311339305443,6,14,gaussian,COMPLETE
104,0.0037566518876701593,2025-07-13 16:00:44.251288,2025-07-13 16:01:15.952048,0 days 00:00:31.700760,identity,min,32,0.008059480940144928,7,11,gaussian,COMPLETE
105,0.04105586186051369,2025-07-13 16:01:15.952692,2025-07-13 16:01:47.653381,0 days 00:00:31.700689,identity,min,32,0.006168944284936046,7,11,gaussian,COMPLETE
106,0.821842610836029,2025-07-13 16:01:47.653974,2025-07-13 16:02:17.889403,0 days 00:00:30.235429,relu,min,32,0.00011917980352282214,7,12,gaussian,COMPLETE
