number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
145,0.003156480146571994,2025-07-17 23:24:41.245794,2025-07-17 23:27:32.879104,0 days 00:02:51.633310,prod,16,0.005907228175783028,5,16,gaussian,COMPLETE
146,0.2084091603755951,2025-07-17 23:27:32.880069,2025-07-17 23:30:32.145850,0 days 00:02:59.265781,prod,16,8.306899677201601e-05,5,17,gaussian,COMPLETE
147,0.017273953184485435,2025-07-17 23:30:32.146864,2025-07-17 23:33:39.167639,0 days 00:03:07.020775,prod,16,0.007420033244013634,5,18,gaussian,COMPLETE
148,0.02577211894094944,2025-07-17 23:33:39.168551,2025-07-17 23:35:15.734178,0 days 00:01:36.565627,prod,32,0.004343945278367699,5,16,gaussian,COMPLETE
149,0.0064893122762441635,2025-07-17 23:35:15.735142,2025-07-17 23:38:07.409892,0 days 00:02:51.674750,prod,16,0.009229946929980496,5,16,gaussian,COMPLETE
150,0.0006751055479981005,2025-07-17 23:38:07.410878,2025-07-17 23:41:22.021092,0 days 00:03:14.610214,prod,16,0.006245751219885585,5,19,gaussian,COMPLETE
151,0.0003847216139547527,2025-07-17 23:41:22.022060,2025-07-17 23:43:58.195027,0 days 00:02:36.172967,prod,16,0.007987402024191858,5,14,gaussian,COMPLETE
152,0.001176333287730813,2025-07-17 23:43:58.195968,2025-07-17 23:46:42.222991,0 days 00:02:44.027023,prod,16,0.007244179360963721,5,15,gaussian,COMPLETE
153,0.0004291041404940188,2025-07-17 23:46:42.223950,2025-07-17 23:49:10.832364,0 days 00:02:28.608414,prod,16,0.008778443488290433,5,13,gaussian,COMPLETE
154,0.03562970459461212,2025-07-17 23:49:10.833293,2025-07-17 23:52:10.313940,0 days 00:02:59.480647,prod,16,0.007530922880065114,5,17,gaussian,COMPLETE
155,0.0005414324696175754,2025-07-17 23:52:10.315122,2025-07-17 23:54:46.746513,0 days 00:02:36.431391,prod,16,0.006398748214055258,5,14,gaussian,COMPLETE
156,0.04901784285902977,2025-07-17 23:54:46.747442,2025-07-17 23:57:30.852989,0 days 00:02:44.105547,prod,16,0.005355974964506094,5,15,gaussian,COMPLETE
157,1.4328733682632446,2025-07-17 23:57:30.853944,2025-07-17 23:58:33.538555,0 days 00:01:02.684611,prod,64,0.009726898360281356,5,18,gaussian,COMPLETE
