number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
100,0.00045071853674016893,2025-07-13 00:20:42.992625,2025-07-13 00:22:33.643734,0 days 00:01:50.651109,identity,min,16,0.006455093900695862,6,16,bell,COMPLETE
101,0.0003510139649733901,2025-07-13 00:22:33.644651,2025-07-13 00:24:28.508209,0 days 00:01:54.863558,identity,min,16,0.00898824096943186,6,17,bell,COMPLETE
102,0.00037595510366372764,2025-07-13 00:24:28.509175,2025-07-13 00:26:23.368645,0 days 00:01:54.859470,identity,min,16,0.008851701507453003,6,17,bell,COMPLETE
103,0.00034085739753209054,2025-07-13 00:26:23.369502,2025-07-13 00:28:22.398748,0 days 00:01:59.029246,identity,min,16,0.007916421276967232,6,18,bell,COMPLETE
104,0.0040667676366865635,2025-07-13 00:28:22.435840,2025-07-13 00:30:21.462696,0 days 00:01:59.026856,identity,min,16,0.0050414008430909795,6,18,bell,COMPLETE
105,0.0009357274975627661,2025-07-13 00:30:21.463552,2025-07-13 00:32:28.770017,0 days 00:02:07.306465,identity,min,16,0.007052370805418177,6,20,bell,COMPLETE
106,0.6565244793891907,2025-07-13 00:32:28.770907,2025-07-13 00:32:53.707096,0 days 00:00:24.936189,identity,min,128,0.008094434673587907,7,18,bell,COMPLETE
107,0.15768969058990479,2025-07-13 00:32:53.707710,2025-07-13 00:34:44.270883,0 days 00:01:50.563173,identity,min,16,0.006242778330907818,6,16,bell,COMPLETE
108,0.3497016727924347,2025-07-13 00:34:44.271729,2025-07-13 00:35:22.909625,0 days 00:00:38.637896,identity,min,64,0.008141255943197012,6,18,bell,COMPLETE
109,0.03340105712413788,2025-07-13 00:35:22.910238,2025-07-13 00:37:20.814972,0 days 00:01:57.904734,identity,min,16,0.00016951805665726955,6,19,sigmoid,COMPLETE
110,0.0008156033582054079,2025-07-13 00:37:20.815848,2025-07-13 00:39:10.446977,0 days 00:01:49.631129,identity,min,16,0.007222114360396883,8,15,bell,COMPLETE
111,0.0005208082729950547,2025-07-13 00:39:10.447953,2025-07-13 00:41:05.368159,0 days 00:01:54.920206,identity,min,16,0.009173219492518822,6,17,bell,COMPLETE
112,0.000774193846154958,2025-07-13 00:41:05.369050,2025-07-13 00:43:00.231200,0 days 00:01:54.862150,identity,min,16,0.009154662412863553,6,17,bell,COMPLETE
113,0.009200101718306541,2025-07-13 00:43:00.232111,2025-07-13 00:44:50.853679,0 days 00:01:50.621568,identity,min,16,0.0078015571600901275,6,16,bell,COMPLETE
114,0.020154297351837158,2025-07-13 00:44:50.854522,2025-07-13 00:46:49.887405,0 days 00:01:59.032883,identity,min,16,0.005721023184771204,6,18,bell,COMPLETE
115,0.0013287486508488655,2025-07-13 00:46:49.888242,2025-07-13 00:48:36.397794,0 days 00:01:46.509552,identity,min,16,0.006626739872213285,6,15,bell,COMPLETE
116,1.1896581649780273,2025-07-13 00:48:36.398621,2025-07-13 00:49:35.666235,0 days 00:00:59.267614,identity,min,32,0.008335500041650777,6,16,bell,COMPLETE
117,0.007067464757710695,2025-07-13 00:49:35.666840,2025-07-13 00:51:30.371545,0 days 00:01:54.704705,identity,min,16,0.005317091395320823,6,17,bell,COMPLETE
118,0.0003839803102891892,2025-07-13 00:51:30.372478,2025-07-13 00:53:33.410485,0 days 00:02:03.038007,identity,min,16,0.009314379043389354,6,19,bell,COMPLETE
119,0.005428295116871595,2025-07-13 00:53:33.411436,2025-07-13 00:55:32.311679,0 days 00:01:58.900243,identity,min,16,0.006958471761886149,6,18,bell,COMPLETE
120,0.00032180576818063855,2025-07-13 00:55:32.312541,2025-07-13 00:57:25.398672,0 days 00:01:53.086131,identity,min,16,0.009988279691059618,7,16,bell,COMPLETE
121,0.001732346718199551,2025-07-13 00:57:25.399589,2025-07-13 00:59:19.033190,0 days 00:01:53.633601,identity,min,16,0.00996021276548647,8,16,bell,COMPLETE
122,0.011573602445423603,2025-07-13 00:59:19.034126,2025-07-13 01:01:16.448228,0 days 00:01:57.414102,identity,min,16,0.008568011283353551,7,17,bell,COMPLETE
123,0.0006285820272751153,2025-07-13 01:01:16.449077,2025-07-13 01:03:13.875522,0 days 00:01:57.426445,identity,min,16,0.0077723701727308876,7,17,bell,COMPLETE
124,0.017719563096761703,2025-07-13 01:03:13.880584,2025-07-13 01:05:04.400662,0 days 00:01:50.520078,identity,min,16,0.0060460477424475285,6,16,bell,COMPLETE
125,0.00037173693999648094,2025-07-13 01:05:04.401486,2025-07-13 01:06:50.818419,0 days 00:01:46.416933,identity,min,16,0.008738394834075706,6,15,bell,COMPLETE
126,0.0013851303374394774,2025-07-13 01:06:50.819320,2025-07-13 01:08:49.785097,0 days 00:01:58.965777,identity,min,16,0.007416000160071359,6,18,bell,COMPLETE
127,0.00041550019523128867,2025-07-13 01:08:49.785978,2025-07-13 01:10:40.262113,0 days 00:01:50.476135,identity,min,16,0.009236390452527436,6,16,bell,COMPLETE
128,0.11318649351596832,2025-07-13 01:10:40.262948,2025-07-13 01:11:15.235874,0 days 00:00:34.972926,identity,min,64,0.0065310393749873855,6,17,sigmoid,COMPLETE
129,0.1531529724597931,2025-07-13 01:11:15.236457,2025-07-13 01:11:35.279211,0 days 00:00:20.042754,identity,min,128,0.007954641852240192,6,14,bell,COMPLETE
130,0.0504816398024559,2025-07-13 01:11:35.279675,2025-07-13 01:13:25.735058,0 days 00:01:50.455383,identity,min,16,0.0016292047880561858,6,16,bell,COMPLETE
131,0.00110220059286803,2025-07-13 01:13:25.736015,2025-07-13 01:15:20.509268,0 days 00:01:54.773253,identity,min,16,0.008629503146630682,6,17,bell,COMPLETE
132,0.0003568529791664332,2025-07-13 01:15:20.510110,2025-07-13 01:17:15.268397,0 days 00:01:54.758287,identity,min,16,0.009833979341549748,6,17,bell,COMPLETE
133,0.12448563426733017,2025-07-13 01:17:15.269276,2025-07-13 01:19:14.075988,0 days 00:01:58.806712,identity,min,16,0.007170497113124094,6,18,bell,COMPLETE
134,0.0010923881782218814,2025-07-13 01:19:14.076935,2025-07-13 01:21:08.827770,0 days 00:01:54.750835,identity,min,16,0.008893112241524384,6,17,bell,COMPLETE
135,0.0003408735792618245,2025-07-13 01:21:08.828617,2025-07-13 01:22:59.304537,0 days 00:01:50.475920,identity,min,16,0.007813761594630096,6,16,bell,COMPLETE
136,0.00045777595369145274,2025-07-13 01:22:59.305384,2025-07-13 01:24:51.898500,0 days 00:01:52.593116,identity,min,16,0.007465514714310485,9,15,bell,COMPLETE
137,0.00048198530566878617,2025-07-13 01:24:51.899347,2025-07-13 01:26:42.340803,0 days 00:01:50.441456,identity,min,16,0.005637193229599852,6,16,bell,COMPLETE
138,0.280985563993454,2025-07-13 01:26:42.341722,2025-07-13 01:27:39.416193,0 days 00:00:57.074471,identity,min,32,0.004898642726305953,6,15,bell,COMPLETE
139,0.00047237586113624275,2025-07-13 01:27:39.416835,2025-07-13 01:29:23.248200,0 days 00:01:43.831365,identity,min,16,0.0062414049545620525,5,16,bell,COMPLETE
140,0.0033414531499147415,2025-07-13 01:29:23.249394,2025-07-13 01:31:26.279987,0 days 00:02:03.030593,identity,min,16,0.009958426991750178,6,19,bell,COMPLETE
141,0.014735483564436436,2025-07-13 01:31:26.283189,2025-07-13 01:33:20.975649,0 days 00:01:54.692460,identity,min,16,0.008395471237998596,6,17,bell,COMPLETE
142,0.000529965094756335,2025-07-13 01:33:20.976666,2025-07-13 01:35:15.691309,0 days 00:01:54.714643,identity,min,16,0.007817750569891046,6,17,bell,COMPLETE
143,0.016388021409511566,2025-07-13 01:35:15.692281,2025-07-13 01:37:14.520622,0 days 00:01:58.828341,identity,min,16,0.009059355416743473,6,18,bell,COMPLETE
144,0.0007371337851509452,2025-07-13 01:37:14.521600,2025-07-13 01:39:04.975741,0 days 00:01:50.454141,identity,min,16,0.00686908393593797,6,16,bell,COMPLETE
145,0.0003359119000378996,2025-07-13 01:39:04.976586,2025-07-13 01:40:59.699105,0 days 00:01:54.722519,identity,min,16,0.008278608462007583,6,17,bell,COMPLETE
146,0.0006471354863606393,2025-07-13 01:40:59.700075,2025-07-13 01:42:52.876943,0 days 00:01:53.176868,identity,min,16,0.008054861210771369,7,16,bell,COMPLETE
147,0.13635192811489105,2025-07-13 01:42:52.877871,2025-07-13 01:44:55.094641,0 days 00:02:02.216770,identity,min,16,0.0010841730090395128,8,18,bell,COMPLETE
148,0.0014046791475266218,2025-07-13 01:44:55.095565,2025-07-13 01:46:49.784685,0 days 00:01:54.689120,identity,min,16,0.006815891957385697,6,17,bell,COMPLETE
149,0.0024884147569537163,2025-07-13 01:46:49.785736,2025-07-13 01:48:36.030680,0 days 00:01:46.244944,identity,min,16,0.00736996990708764,6,15,bell,COMPLETE
150,0.2874324321746826,2025-07-13 01:48:36.031569,2025-07-13 01:50:13.159748,0 days 00:01:37.128179,identity,min,16,0.006006573114490705,6,14,sigmoid,COMPLETE
151,0.002122699748724699,2025-07-13 01:50:13.160638,2025-07-13 01:52:07.885711,0 days 00:01:54.725073,identity,min,16,0.009107742981217455,6,17,bell,COMPLETE
152,0.16030442714691162,2025-07-13 01:52:07.886552,2025-07-13 01:54:06.779120,0 days 00:01:58.892568,identity,min,16,0.008464820912633463,6,18,bell,COMPLETE
153,0.02495228871703148,2025-07-13 01:54:06.780050,2025-07-13 01:55:57.291932,0 days 00:01:50.511882,identity,min,16,0.009908985593433707,6,16,bell,COMPLETE
154,0.0006482209428213537,2025-07-13 01:55:57.292913,2025-07-13 01:57:52.035620,0 days 00:01:54.742707,identity,min,16,0.007967225381751658,6,17,bell,COMPLETE
155,0.00040069702663458884,2025-07-13 01:57:52.036574,2025-07-13 01:59:46.750092,0 days 00:01:54.713518,identity,min,16,0.0090747949184704,6,17,bell,COMPLETE
