number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,params_shuffle,params_weight_decay,state
116,4.508601250563515e-06,2025-07-10 21:20:08.270657,2025-07-10 21:20:38.271892,0 days 00:00:30.001235,relu,prod,16,0.008643359285593332,4,sigmoid,False,1.4249814059959784e-05,COMPLETE
117,3.7457839425769635e-06,2025-07-10 21:20:38.272500,2025-07-10 21:20:58.985609,0 days 00:00:20.713109,identity,prod,32,0.007812928905479438,8,gaussian,False,1.1915650750191088e-05,COMPLETE
118,0.0009160118061117828,2025-07-10 21:20:58.986215,2025-07-10 21:21:19.882956,0 days 00:00:20.896741,identity,prod,32,0.004175807639381464,8,gaussian,True,1.2019342980603294e-05,COMPLETE
119,5.061524461780209e-06,2025-07-10 21:21:19.883544,2025-07-10 21:21:41.090584,0 days 00:00:21.207040,identity,prod,32,0.009272745984008323,9,sigmoid,False,1.0709703481498154e-05,COMPLETE
120,3.875192760460777e-06,2025-07-10 21:21:41.091170,2025-07-10 21:22:02.719970,0 days 00:00:21.628800,identity,prod,32,0.007801329219347952,9,gaussian,False,7.2840050971963e-05,COMPLETE
121,4.1459588828729466e-06,2025-07-10 21:22:02.720578,2025-07-10 21:22:23.491759,0 days 00:00:20.771181,identity,prod,32,0.007707770258393474,8,gaussian,False,1.7822746572332557e-05,COMPLETE
122,1.9520790374372154e-05,2025-07-10 21:22:23.492348,2025-07-10 21:22:43.470116,0 days 00:00:19.977768,identity,prod,32,0.00853089189654009,7,gaussian,False,0.0001166594735690944,COMPLETE
123,0.0016040552873164415,2025-07-10 21:22:43.470710,2025-07-10 21:22:55.560878,0 days 00:00:12.090168,identity,prod,64,0.006959108934956522,9,gaussian,False,7.334842379325352e-05,COMPLETE
124,4.185541911283508e-06,2025-07-10 21:22:55.561256,2025-07-10 21:23:17.235891,0 days 00:00:21.674635,identity,prod,32,0.00992816691887743,9,gaussian,False,1.3007228419877022e-05,COMPLETE
125,5.506339675775962e-06,2025-07-10 21:23:17.236497,2025-07-10 21:23:37.995410,0 days 00:00:20.758913,identity,prod,32,0.005213773027717281,8,gaussian,False,0.00015197124637380229,COMPLETE
126,7.31583440938266e-06,2025-07-10 21:23:37.995998,2025-07-10 21:23:56.383998,0 days 00:00:18.388000,identity,min,32,0.007870410738842202,7,sigmoid,False,1.1443241061304561e-05,COMPLETE
127,0.00010952949378406629,2025-07-10 21:23:56.384531,2025-07-10 21:24:19.217581,0 days 00:00:22.833050,identity,prod,32,0.009194695097334551,8,bell,True,2.421595003430392e-05,COMPLETE
128,1.7583186490810476e-05,2025-07-10 21:24:19.218059,2025-07-10 21:24:41.022806,0 days 00:00:21.804747,identity,prod,32,0.006049110868656105,9,gaussian,False,4.887611159314697e-05,COMPLETE
129,0.13050895929336548,2025-07-10 21:24:41.023330,2025-07-10 21:24:52.504646,0 days 00:00:11.481316,relu,prod,64,0.0021635136165194047,8,sigmoid,False,1.5834565244224976e-05,COMPLETE
130,4.255298790667439e-06,2025-07-10 21:24:52.505099,2025-07-10 21:25:20.181587,0 days 00:00:27.676488,relu,prod,16,0.007545140786907397,2,gaussian,False,1.2704851536214277e-05,COMPLETE
131,1.3225219249725342,2025-07-10 21:25:20.182207,2025-07-10 21:25:51.360493,0 days 00:00:31.178286,relu,prod,16,0.008405532374519083,4,gaussian,False,1.455266346202889e-05,COMPLETE
132,4.710846042144112e-06,2025-07-10 21:25:51.361120,2025-07-10 21:26:20.750933,0 days 00:00:29.389813,relu,prod,16,0.006958607642164219,3,gaussian,False,1.3541383990147987e-05,COMPLETE
