number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
126,1.0917392501141876e-05,2025-07-04 12:16:32.060000,2025-07-04 12:16:45.037777,0 days 00:00:12.977777,identity,32,127,0.0005204944346747457,9,False,8.508007548492035e-05,COMPLETE
127,9.954301276593469e-06,2025-07-04 12:16:45.038068,2025-07-04 12:16:58.244745,0 days 00:00:13.206677,identity,32,116,0.0005828714438850213,11,False,1.0643377146164789e-05,COMPLETE
128,5.537427114177262e-06,2025-07-04 12:16:58.245041,2025-07-04 12:17:10.406639,0 days 00:00:12.161598,identity,32,128,0.0003405285145128013,8,False,1.3512061371412855e-05,COMPLETE
129,1.3118129572831094e-05,2025-07-04 12:17:10.406941,2025-07-04 12:17:18.416380,0 days 00:00:08.009439,identity,64,116,0.00033287252879637226,8,False,1.2393957506201358e-05,COMPLETE
130,4.212178737361683e-06,2025-07-04 12:17:18.416681,2025-07-04 12:17:30.585507,0 days 00:00:12.168826,identity,32,128,0.00036626345734638724,8,False,1.096505942016538e-05,COMPLETE
131,5.156069619260961e-06,2025-07-04 12:17:30.585800,2025-07-04 12:17:42.754113,0 days 00:00:12.168313,identity,32,128,0.0002638549406942371,8,False,1.0178470800464017e-05,COMPLETE
132,4.2206743273709435e-06,2025-07-04 12:17:42.754401,2025-07-04 12:17:55.032208,0 days 00:00:12.277807,identity,32,119,0.00025727472735118865,8,False,1.002340954094322e-05,COMPLETE
133,1.0490040040167514e-05,2025-07-04 12:17:55.032504,2025-07-04 12:18:07.629655,0 days 00:00:12.597151,identity,32,125,0.00016640783457621533,8,False,1.0213039201545901e-05,COMPLETE
134,4.083888143213699e-06,2025-07-04 12:18:07.629967,2025-07-04 12:18:20.378432,0 days 00:00:12.748465,identity,32,122,0.0002304955801338369,9,False,1.1080842887792377e-05,COMPLETE
135,4.828556029679021e-06,2025-07-04 12:18:20.378737,2025-07-04 12:18:33.121018,0 days 00:00:12.742281,identity,32,122,0.00024414770000216876,9,False,1.1733104492674517e-05,COMPLETE
136,4.4729895307682455e-06,2025-07-04 12:18:33.121311,2025-07-04 12:18:45.852783,0 days 00:00:12.731472,identity,32,122,0.00025623080172162,9,False,1.1304491010110526e-05,COMPLETE
137,4.760089723276906e-06,2025-07-04 12:18:45.853078,2025-07-04 12:18:58.571819,0 days 00:00:12.718741,identity,32,122,0.0002460202696463791,9,False,1.1110194733354601e-05,COMPLETE
138,4.228404122841312e-06,2025-07-04 12:18:58.572112,2025-07-04 12:19:11.298097,0 days 00:00:12.725985,identity,32,121,0.00024904613487481287,9,False,1.103946956818106e-05,COMPLETE
139,7.009582986938767e-06,2025-07-04 12:19:11.298390,2025-07-04 12:19:23.951331,0 days 00:00:12.652941,identity,32,120,0.00017719941887586678,9,False,1.1432342414178564e-05,COMPLETE
