number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
125,0.01707613654434681,2025-07-14 23:35:48.641052,2025-07-14 23:37:35.413847,0 days 00:01:46.772795,identity,prod,0.00023984487520270015,9,18,bell,COMPLETE
126,3.5084135561191943e-06,2025-07-14 23:37:35.414851,2025-07-14 23:39:29.214792,0 days 00:01:53.799941,relu,min,0.006186066441268908,9,21,bell,COMPLETE
127,5.363713626138633e-06,2025-07-14 23:39:29.215830,2025-07-14 23:41:22.984155,0 days 00:01:53.768325,relu,min,0.006287473021356717,9,21,bell,COMPLETE
128,6.2085337049211375e-06,2025-07-14 23:41:22.985168,2025-07-14 23:43:25.181694,0 days 00:02:02.196526,relu,min,0.007339766827955745,9,24,bell,COMPLETE
129,2.8346576073090546e-05,2025-07-14 23:43:25.182693,2025-07-14 23:45:08.304984,0 days 00:01:43.122291,relu,min,0.0032302130740067404,9,17,bell,COMPLETE
130,1.3161295652389526,2025-07-14 23:45:08.305911,2025-07-14 23:46:54.859632,0 days 00:01:46.553721,relu,min,0.00501630415685852,9,20,sigmoid,COMPLETE
131,6.148977263364941e-05,2025-07-14 23:46:54.860521,2025-07-14 23:48:51.812743,0 days 00:01:56.952222,relu,min,0.006474011689654062,9,22,bell,COMPLETE
132,0.00035376017331145704,2025-07-14 23:48:51.813740,2025-07-14 23:50:46.964169,0 days 00:01:55.150429,identity,prod,0.008088929550113297,9,21,bell,COMPLETE
133,9.851635695667937e-06,2025-07-14 23:50:46.965132,2025-07-14 23:52:42.175010,0 days 00:01:55.209878,identity,prod,0.005312863623313338,9,21,bell,COMPLETE
134,0.001789744826965034,2025-07-14 23:52:42.176011,2025-07-14 23:54:29.104493,0 days 00:01:46.928482,identity,prod,0.004080433073283236,9,18,bell,COMPLETE
135,5.457427050714614e-06,2025-07-14 23:54:29.105488,2025-07-14 23:56:18.884292,0 days 00:01:49.778804,identity,prod,0.0071658711874123746,9,19,bell,COMPLETE
136,1.315966010093689,2025-07-14 23:56:18.885250,2025-07-14 23:58:13.601022,0 days 00:01:54.715772,relu,prod,0.005847540428875904,8,22,bell,COMPLETE
137,0.00020804457017220557,2025-07-14 23:58:13.602130,2025-07-14 23:59:56.160402,0 days 00:01:42.558272,identity,min,0.004836842471018934,9,17,bell,COMPLETE
138,0.0014326891396194696,2025-07-14 23:59:56.161358,2025-07-15 00:01:42.340202,0 days 00:01:46.178844,identity,prod,0.0008781805247580421,8,19,bell,COMPLETE
139,0.0017352051800116897,2025-07-15 00:01:42.341137,2025-07-15 00:03:31.279090,0 days 00:01:48.937953,identity,prod,0.007714300475008521,8,20,bell,COMPLETE
140,3.948302037315443e-06,2025-07-15 00:03:31.280053,2025-07-15 00:05:12.776643,0 days 00:01:41.496590,identity,prod,0.006509966499884235,9,16,bell,COMPLETE
141,6.317505267361412e-06,2025-07-15 00:05:12.777562,2025-07-15 00:06:52.148303,0 days 00:01:39.370741,identity,prod,0.009119240038721492,9,15,bell,COMPLETE
142,8.824855285638478e-06,2025-07-15 00:06:52.149227,2025-07-15 00:08:33.924863,0 days 00:01:41.775636,identity,prod,0.008497745042942243,9,16,bell,COMPLETE
143,3.6462172374740476e-06,2025-07-15 00:08:33.925816,2025-07-15 00:10:20.681621,0 days 00:01:46.755805,identity,prod,0.009457915667698037,9,18,bell,COMPLETE
144,8.076538506429642e-05,2025-07-15 00:10:20.682605,2025-07-15 00:12:07.476852,0 days 00:01:46.794247,identity,prod,0.007798090014790998,9,18,bell,COMPLETE
145,0.00013774227409157902,2025-07-15 00:12:07.478046,2025-07-15 00:13:51.122702,0 days 00:01:43.644656,identity,prod,0.009931565004342365,8,18,bell,COMPLETE
146,3.844203547487268e-06,2025-07-15 00:13:51.123674,2025-07-15 00:15:31.976701,0 days 00:01:40.853027,identity,prod,0.005929042439338586,8,17,bell,COMPLETE
147,4.445347258297261e-06,2025-07-15 00:15:31.977642,2025-07-15 00:17:03.107653,0 days 00:01:31.130011,identity,prod,0.006903878317038844,9,11,bell,COMPLETE
