number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
90,0.026738883927464485,2025-07-04 12:17:38.832982,2025-07-04 12:18:09.046327,0 days 00:00:30.213345,sigmoid,16,126,0.0009675782127181955,18,True,1.5465706707893237e-05,COMPLETE
91,4.248764980729902e-06,2025-07-04 12:18:09.046559,2025-07-04 12:18:37.726779,0 days 00:00:28.680220,relu,16,124,0.0012936808540894846,17,True,2.27509540574469e-05,COMPLETE
92,3.979953817179194e-06,2025-07-04 12:18:37.727009,2025-07-04 12:19:06.984360,0 days 00:00:29.257351,relu,16,126,0.0007332329756853727,17,True,1.4524671559361047e-05,COMPLETE
93,4.824983534490457e-06,2025-07-04 12:19:06.984588,2025-07-04 12:19:36.174983,0 days 00:00:29.190395,relu,16,125,0.0006916068171901004,17,True,2.42440378247328e-05,COMPLETE
94,4.294577138352906e-06,2025-07-04 12:19:36.175216,2025-07-04 12:20:03.579456,0 days 00:00:27.404240,relu,16,128,0.0007967538791899202,16,True,1.442006951153068e-05,COMPLETE
95,4.022789653390646e-06,2025-07-04 12:20:03.579680,2025-07-04 12:20:19.422005,0 days 00:00:15.842325,relu,32,128,0.0008014116359308513,16,True,1.4343403131680132e-05,COMPLETE
96,5.620921001536772e-06,2025-07-04 12:20:19.422225,2025-07-04 12:20:36.211848,0 days 00:00:16.789623,relu,32,127,0.0005441318550656316,16,True,1.4282718819764198e-05,COMPLETE
97,4.307937615521951e-06,2025-07-04 12:20:36.212070,2025-07-04 12:20:52.665989,0 days 00:00:16.453919,relu,32,128,0.0008074897051882452,17,True,1.638907360734081e-05,COMPLETE
98,5.563742888625711e-06,2025-07-04 12:20:52.666207,2025-07-04 12:21:09.087066,0 days 00:00:16.420859,relu,32,128,0.0007892932398488984,17,True,1.5889689637767855e-05,COMPLETE
99,5.792285719508072e-06,2025-07-04 12:21:09.087288,2025-07-04 12:21:25.729248,0 days 00:00:16.641960,relu,32,124,0.0004672890506725616,17,True,2.1267649468462505e-05,COMPLETE
100,1.843345853558276e-05,2025-07-04 12:21:25.729494,2025-07-04 12:21:39.530996,0 days 00:00:13.801502,relu,32,38,0.0009208132538213853,18,True,1.6431468874048073e-05,COMPLETE
101,4.503723630477907e-06,2025-07-04 12:21:39.531212,2025-07-04 12:21:55.945452,0 days 00:00:16.414240,relu,32,125,0.0008193887056009193,16,True,1.3460645026922884e-05,COMPLETE
102,5.111552582093282e-06,2025-07-04 12:21:55.945660,2025-07-04 12:22:12.608349,0 days 00:00:16.662689,relu,32,124,0.000842625314873086,17,True,1.343302176409743e-05,COMPLETE
103,4.657655608752975e-06,2025-07-04 12:22:12.608574,2025-07-04 12:22:28.455144,0 days 00:00:15.846570,relu,32,128,0.0005818453813582146,16,True,1.4641545780783414e-05,COMPLETE
104,5.126446012582164e-06,2025-07-04 12:22:28.455385,2025-07-04 12:22:45.491928,0 days 00:00:17.036543,relu,32,125,0.000741132468976725,17,True,1.7114183278518317e-05,COMPLETE
105,4.9864629545481876e-06,2025-07-04 12:22:45.492153,2025-07-04 12:23:03.206127,0 days 00:00:17.713974,relu,32,126,0.0010222274399789653,18,True,1.282403851830029e-05,COMPLETE
106,5.519822934729746e-06,2025-07-04 12:23:03.206350,2025-07-04 12:23:19.011805,0 days 00:00:15.805455,relu,32,122,0.0006940486312306043,16,True,2.3301051120936724e-05,COMPLETE
107,7.483169156330405e-06,2025-07-04 12:23:35.536071,2025-07-04 12:23:49.564793,0 days 00:00:14.028722,relu,32,43,0.0008922158746190735,18,True,1.1016128967788025e-05,COMPLETE
108,5.682843493559631e-06,2025-07-04 12:23:49.565015,2025-07-04 12:24:05.636842,0 days 00:00:16.071827,identity,32,123,0.00048599674602439296,16,True,2.6259261102692907e-05,COMPLETE
109,4.294658538128715e-06,2025-07-04 12:24:05.637065,2025-07-04 12:24:21.466764,0 days 00:00:15.829699,relu,32,118,0.0010679137554140624,16,True,2.040384322276145e-05,COMPLETE
110,1.1820992767752614e-05,2025-07-04 12:24:21.466984,2025-07-04 12:24:30.572192,0 days 00:00:09.105208,relu,64,61,0.0010504023986926654,17,True,2.126059631968803e-05,COMPLETE
111,5.490539479069412e-06,2025-07-04 12:24:30.572434,2025-07-04 12:24:46.416040,0 days 00:00:15.843606,relu,32,118,0.0008003842911984695,16,True,1.4819826436193727e-05,COMPLETE
112,5.1580832405306865e-06,2025-07-04 12:24:46.416264,2025-07-04 12:25:02.834208,0 days 00:00:16.417944,relu,32,128,0.001226075479822547,17,True,1.7251543811183535e-05,COMPLETE
113,5.658352165482938e-06,2025-07-04 12:25:02.834451,2025-07-04 12:25:20.255825,0 days 00:00:17.421374,relu,32,123,0.0011345670283402715,18,True,1.3805634592266218e-05,COMPLETE
114,5.810446054965723e-06,2025-07-04 12:25:20.256052,2025-07-04 12:25:36.123307,0 days 00:00:15.867255,relu,32,122,0.0009518385177337036,16,True,1.2463847357779955e-05,COMPLETE
115,0.027030106633901596,2025-07-04 12:25:36.123552,2025-07-04 12:25:52.416959,0 days 00:00:16.293407,sigmoid,32,118,0.0012805451710151202,17,True,2.0017637681918193e-05,COMPLETE
116,5.548225544771412e-06,2025-07-04 12:25:52.417170,2025-07-04 12:26:08.185843,0 days 00:00:15.768673,relu,32,125,0.0006924810894845423,15,True,1.0731315954065738e-05,COMPLETE
117,6.906171620357782e-05,2025-07-04 12:26:08.186056,2025-07-04 12:26:15.326883,0 days 00:00:07.140827,relu,128,114,0.0003894130155367296,17,True,1.8130055142696393e-05,COMPLETE
118,4.3606764847936574e-06,2025-07-04 12:26:35.760509,2025-07-04 12:26:51.405901,0 days 00:00:15.645392,relu,32,120,0.0008298712217713262,16,True,1.5460730666134423e-05,COMPLETE
119,1.232721479027532e-05,2025-07-04 12:26:51.406144,2025-07-04 12:27:14.687493,0 days 00:00:23.281349,relu,16,26,0.0010584239190971933,17,True,1.5915204586263504e-05,COMPLETE
120,5.870487257197965e-06,2025-07-04 12:27:14.687704,2025-07-04 12:27:43.856408,0 days 00:00:29.168704,relu,16,120,0.0005831101439177582,18,True,2.656889306472103e-05,COMPLETE
121,4.420990990183782e-06,2025-07-04 12:27:43.856658,2025-07-04 12:27:59.697461,0 days 00:00:15.840803,relu,32,128,0.0008462009484485802,16,True,1.3737493154174605e-05,COMPLETE
122,5.2136610975139774e-06,2025-07-04 12:27:59.697687,2025-07-04 12:28:15.576261,0 days 00:00:15.878574,relu,32,128,0.0008792671400201191,16,True,1.1780195432978285e-05,COMPLETE
123,5.3845678849029355e-06,2025-07-04 12:28:15.576474,2025-07-04 12:28:31.000619,0 days 00:00:15.424145,relu,32,121,0.0007297566059984701,15,True,1.5133149774117422e-05,COMPLETE
124,5.6877861425164156e-06,2025-07-04 12:28:31.000841,2025-07-04 12:28:47.479189,0 days 00:00:16.478348,relu,32,118,0.0009630698513446653,17,True,1.734831350794656e-05,COMPLETE
125,4.788775640918175e-06,2025-07-04 12:28:47.479441,2025-07-04 12:29:03.245433,0 days 00:00:15.765992,relu,32,112,0.0007785761066041338,17,True,1.0056991539892342e-05,COMPLETE
126,5.157421128387796e-06,2025-07-04 12:29:03.245658,2025-07-04 12:29:15.341006,0 days 00:00:12.095348,relu,64,126,0.0005995870773507148,19,True,1.2758569017001246e-05,COMPLETE
127,5.256224085314898e-06,2025-07-04 12:29:15.341307,2025-07-04 12:29:42.486553,0 days 00:00:27.145246,relu,16,122,0.0006625482166740469,16,True,1.420935662878832e-05,COMPLETE
128,6.367041351040825e-06,2025-07-04 12:29:42.486797,2025-07-04 12:30:09.009299,0 days 00:00:26.522502,relu,16,78,0.0011374336895062964,18,True,1.9749468974197428e-05,COMPLETE
129,4.780255949299317e-06,2025-07-04 12:30:09.009573,2025-07-04 12:30:34.680180,0 days 00:00:25.670607,relu,16,116,0.0012667863351152567,15,True,1.1883113077360568e-05,COMPLETE
130,1.3172639608383179,2025-07-04 12:30:34.680406,2025-07-04 12:30:49.818485,0 days 00:00:15.138079,relu,32,126,0.0010099825829511773,14,False,3.301539772034933e-05,COMPLETE
