number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
144,0.8,2025-10-01 13:42:47.971406,2025-10-01 13:42:55.785480,0 days 00:00:07.814074,relu,39,0.0009027062558713829,2,COMPLETE
145,0.78,2025-10-01 13:42:55.785844,2025-10-01 13:43:03.605213,0 days 00:00:07.819369,relu,44,0.0007589816449037499,2,COMPLETE
146,0.82,2025-10-01 13:43:03.605499,2025-10-01 13:43:11.351175,0 days 00:00:07.745676,relu,33,0.0006925587876488739,2,COMPLETE
147,0.82,2025-10-01 13:43:11.351566,2025-10-01 13:43:19.163061,0 days 00:00:07.811495,relu,41,0.000796445831913889,2,COMPLETE
148,0.76,2025-10-01 13:43:19.163351,2025-10-01 13:43:26.938205,0 days 00:00:07.774854,relu,38,0.0009005020341654568,2,COMPLETE
149,0.74,2025-10-01 13:43:26.938483,2025-10-01 13:43:34.681149,0 days 00:00:07.742666,relu,30,0.0006816567046679891,2,COMPLETE
150,0.7836363636363638,2025-10-01 13:43:34.681508,2025-10-01 13:43:42.435617,0 days 00:00:07.754109,relu,36,0.0008394557361234169,2,COMPLETE
151,0.86,2025-10-01 13:43:42.435892,2025-10-01 13:43:50.202568,0 days 00:00:07.766676,relu,35,0.0008021608732953518,2,COMPLETE
152,0.7636363636363637,2025-10-01 13:43:50.202841,2025-10-01 13:43:57.963635,0 days 00:00:07.760794,relu,36,0.0009738650185868317,2,COMPLETE
153,0.7236363636363636,2025-10-01 13:43:57.964024,2025-10-01 13:44:05.716462,0 days 00:00:07.752438,relu,34,0.0007520484185214757,2,COMPLETE
154,0.8,2025-10-01 13:44:05.716748,2025-10-01 13:44:13.472139,0 days 00:00:07.755391,relu,31,0.0006607310584113339,2,COMPLETE
155,0.7636363636363637,2025-10-01 13:44:13.472494,2025-10-01 13:44:21.255629,0 days 00:00:07.783135,relu,37,0.0009949124836848538,2,COMPLETE
156,0.4872727272727272,2025-10-01 13:44:21.255903,2025-10-01 13:44:28.999222,0 days 00:00:07.743319,relu,33,2.847053515448729e-05,2,COMPLETE
157,0.82,2025-10-01 13:44:28.999506,2025-10-01 13:44:36.756109,0 days 00:00:07.756603,relu,29,0.0005952045855323647,2,COMPLETE
158,0.7818181818181819,2025-10-01 13:44:36.756486,2025-10-01 13:44:44.530563,0 days 00:00:07.774077,tanh,48,0.0008551317214473398,2,COMPLETE
159,0.8036363636363635,2025-10-01 13:44:44.530856,2025-10-01 13:44:52.338709,0 days 00:00:07.807853,relu,39,0.0007382408196936444,2,COMPLETE
160,0.6472727272727273,2025-10-01 13:44:52.339078,2025-10-01 13:44:58.473495,0 days 00:00:06.134417,sigmoid,27,0.0005537152074411854,1,COMPLETE
161,0.7818181818181819,2025-10-01 13:44:58.473766,2025-10-01 13:45:06.241800,0 days 00:00:07.768034,relu,35,0.0008076873554519918,2,COMPLETE
162,0.78,2025-10-01 13:45:06.242085,2025-10-01 13:45:14.016360,0 days 00:00:07.774275,relu,35,0.0008970523509236926,2,COMPLETE
163,0.7436363636363638,2025-10-01 13:45:14.016750,2025-10-01 13:45:21.741146,0 days 00:00:07.724396,relu,32,0.0007981783769454168,2,COMPLETE
164,0.78,2025-10-01 13:45:21.741445,2025-10-01 13:45:29.528431,0 days 00:00:07.786986,relu,38,0.0007123291770612833,2,COMPLETE
165,0.76,2025-10-01 13:45:29.528707,2025-10-01 13:45:37.299541,0 days 00:00:07.770834,relu,34,0.0006374452594695651,2,COMPLETE
166,0.7636363636363637,2025-10-01 13:45:37.299903,2025-10-01 13:45:45.119712,0 days 00:00:07.819809,relu,41,0.000815766137345626,2,COMPLETE
167,0.7636363636363637,2025-10-01 13:45:45.119986,2025-10-01 13:45:55.962325,0 days 00:00:10.842339,relu,36,0.0005222022561686676,4,COMPLETE
168,0.7836363636363636,2025-10-01 13:45:55.962731,2025-10-01 13:46:06.766549,0 days 00:00:10.803818,relu,30,0.0009927856454693218,4,COMPLETE
169,0.7836363636363636,2025-10-01 13:46:06.766841,2025-10-01 13:46:17.527181,0 days 00:00:10.760340,relu,32,0.0007012124501752478,4,COMPLETE
170,0.7836363636363638,2025-10-01 13:46:17.527559,2025-10-01 13:46:25.257557,0 days 00:00:07.729998,relu,28,0.0008789950190952009,2,COMPLETE
171,0.7818181818181819,2025-10-01 13:46:25.257849,2025-10-01 13:46:33.017854,0 days 00:00:07.760005,relu,33,0.0006683152919693968,2,COMPLETE
172,0.7636363636363637,2025-10-01 13:46:33.018253,2025-10-01 13:46:40.779835,0 days 00:00:07.761582,relu,34,0.0007405526473958161,2,COMPLETE
