number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
89,0.8541666666666666,2025-10-01 09:38:55.035913,2025-10-01 09:39:17.795899,0 days 00:00:22.759986,frank,0.0001778604523378048,3,5,sigmoid,COMPLETE
90,0.8683333333333334,2025-10-01 09:39:17.796312,2025-10-01 09:39:40.577532,0 days 00:00:22.781220,frank,0.0004994563278882949,3,5,sigmoid,COMPLETE
91,0.8408333333333333,2025-10-01 09:39:40.577931,2025-10-01 09:40:03.463832,0 days 00:00:22.885901,frank,0.0005414080856010829,3,5,sigmoid,COMPLETE
92,0.8808333333333334,2025-10-01 09:40:03.464288,2025-10-01 09:40:26.335858,0 days 00:00:22.871570,frank,0.000653258619556205,3,5,sigmoid,COMPLETE
93,0.7875,2025-10-01 09:40:26.336292,2025-10-01 09:40:49.408956,0 days 00:00:23.072664,frank,0.00012417258304540555,3,5,sigmoid,COMPLETE
94,0.8816666666666668,2025-10-01 09:40:49.409405,2025-10-01 09:41:12.377340,0 days 00:00:22.967935,frank,0.00034326878920285864,3,5,sigmoid,COMPLETE
95,0.8150000000000001,2025-10-01 09:41:12.377831,2025-10-01 09:41:35.418310,0 days 00:00:23.040479,frank,0.0003050859560477299,3,5,sigmoid,COMPLETE
96,0.8416666666666666,2025-10-01 09:41:35.418775,2025-10-01 09:41:58.211881,0 days 00:00:22.793106,frank,0.00037111493949678514,3,5,sigmoid,COMPLETE
97,0.8675,2025-10-01 09:41:58.212321,2025-10-01 09:42:20.896898,0 days 00:00:22.684577,frank,0.0002524841570577033,3,5,sigmoid,COMPLETE
98,0.8541666666666666,2025-10-01 09:42:20.897336,2025-10-01 09:42:43.755419,0 days 00:00:22.858083,frank,0.0003459418829130878,3,5,sigmoid,COMPLETE
99,0.8550000000000001,2025-10-01 09:42:43.755862,2025-10-01 09:43:06.528222,0 days 00:00:22.772360,frank,0.0001967169012618513,3,5,sigmoid,COMPLETE
100,0.6625,2025-10-01 09:43:06.528796,2025-10-01 09:43:29.316391,0 days 00:00:22.787595,frank,3.6299169011224496e-05,3,5,sigmoid,COMPLETE
101,0.8550000000000001,2025-10-01 09:43:29.316851,2025-10-01 09:43:52.245119,0 days 00:00:22.928268,frank,0.0005642012291682813,3,5,sigmoid,COMPLETE
102,0.8675,2025-10-01 09:43:52.245547,2025-10-01 09:44:15.247647,0 days 00:00:23.002100,frank,0.0006872851659670426,3,5,sigmoid,COMPLETE
103,0.8941666666666667,2025-10-01 09:44:15.248093,2025-10-01 09:44:38.249683,0 days 00:00:23.001590,frank,0.00048313683022929195,3,5,sigmoid,COMPLETE
104,0.8416666666666666,2025-10-01 09:44:38.250113,2025-10-01 09:44:59.289139,0 days 00:00:21.039026,luka,0.0004331742182309515,3,5,sigmoid,COMPLETE
105,0.8683333333333334,2025-10-01 09:44:59.289582,2025-10-01 09:45:22.119457,0 days 00:00:22.829875,frank,0.0004719302742676866,3,5,sigmoid,COMPLETE
106,0.8941666666666667,2025-10-01 09:45:22.119885,2025-10-01 09:45:45.080694,0 days 00:00:22.960809,frank,0.00051511982144562,3,5,sigmoid,COMPLETE
107,0.9075000000000001,2025-10-01 09:45:45.081140,2025-10-01 09:46:07.871180,0 days 00:00:22.790040,frank,0.0002983890611606017,3,5,sigmoid,COMPLETE
108,0.8416666666666666,2025-10-01 09:46:07.871708,2025-10-01 09:46:29.911352,0 days 00:00:22.039644,hamacher,0.000400360076512064,3,5,sigmoid,COMPLETE
109,0.8149999999999998,2025-10-01 09:46:29.911775,2025-10-01 09:46:52.731214,0 days 00:00:22.819439,frank,0.00029956682000647133,3,5,sigmoid,COMPLETE
110,0.8425,2025-10-01 09:46:52.731660,2025-10-01 09:47:15.501476,0 days 00:00:22.769816,frank,0.00021659116888790632,3,5,sigmoid,COMPLETE
111,0.8808333333333334,2025-10-01 09:47:15.501901,2025-10-01 09:47:38.266032,0 days 00:00:22.764131,frank,0.00033413570579139874,3,5,sigmoid,COMPLETE
112,0.8675,2025-10-01 09:47:38.266474,2025-10-01 09:48:01.168458,0 days 00:00:22.901984,frank,0.0005076074547038128,3,5,sigmoid,COMPLETE
113,0.8675,2025-10-01 09:48:01.168904,2025-10-01 09:48:24.084338,0 days 00:00:22.915434,frank,0.000549808985491107,3,5,sigmoid,COMPLETE
