number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
137,0.8399999999999999,2025-10-01 11:37:01.797451,2025-10-01 11:37:19.209796,0 days 00:00:17.412345,min,0.0008621259752358639,3,5,bell,COMPLETE
138,0.7272727272727273,2025-10-01 11:37:19.210219,2025-10-01 11:37:33.062563,0 days 00:00:13.852344,prod,0.0002994231650081226,3,4,sigmoid,COMPLETE
139,0.74,2025-10-01 11:37:33.062887,2025-10-01 11:37:50.588053,0 days 00:00:17.525166,prod,0.00012158892266483584,3,5,bell,COMPLETE
140,0.8400000000000001,2025-10-01 11:37:50.588491,2025-10-01 11:38:08.112451,0 days 00:00:17.523960,prod,0.0006131165939145998,3,5,bell,COMPLETE
141,0.8,2025-10-01 11:38:08.112865,2025-10-01 11:38:25.632526,0 days 00:00:17.519661,prod,0.0007110422801833448,3,5,bell,COMPLETE
142,0.8399999999999999,2025-10-01 11:38:25.632969,2025-10-01 11:38:43.158524,0 days 00:00:17.525555,prod,0.0005891146905404642,3,5,bell,COMPLETE
143,0.82,2025-10-01 11:38:43.158959,2025-10-01 11:39:00.677607,0 days 00:00:17.518648,prod,0.00032276619934586766,3,5,bell,COMPLETE
144,0.82,2025-10-01 11:39:00.678050,2025-10-01 11:39:18.196651,0 days 00:00:17.518601,prod,0.0004472381192216067,3,5,bell,COMPLETE
145,0.8399999999999999,2025-10-01 11:39:18.197079,2025-10-01 11:39:35.726383,0 days 00:00:17.529304,prod,0.0005033683116917562,3,5,bell,COMPLETE
146,0.8399999999999999,2025-10-01 11:39:35.726850,2025-10-01 11:39:53.249779,0 days 00:00:17.522929,prod,0.0006473554680247953,3,5,bell,COMPLETE
147,0.76,2025-10-01 11:39:53.250116,2025-10-01 11:40:10.651757,0 days 00:00:17.401641,min,0.0002148166020830894,3,4,bell,COMPLETE
148,0.37454545454545457,2025-10-01 11:40:10.652193,2025-10-01 11:40:25.585600,0 days 00:00:14.933407,luka,0.0007901021085982046,4,4,gaussian,COMPLETE
149,0.8399999999999999,2025-10-01 11:40:25.586035,2025-10-01 11:40:43.108038,0 days 00:00:17.522003,prod,0.00026452559751800496,3,5,bell,COMPLETE
150,0.7272727272727272,2025-10-01 11:40:43.108462,2025-10-01 11:40:56.953116,0 days 00:00:13.844654,prod,0.00018437555591657842,2,5,sigmoid,COMPLETE
151,0.8018181818181818,2025-10-01 11:40:56.953554,2025-10-01 11:41:14.474900,0 days 00:00:17.521346,prod,0.0008797909179082599,3,5,bell,COMPLETE
152,0.8399999999999999,2025-10-01 11:41:14.475244,2025-10-01 11:41:31.987908,0 days 00:00:17.512664,prod,0.0009012087297341661,3,5,bell,COMPLETE
153,0.82,2025-10-01 11:41:31.988337,2025-10-01 11:41:49.536198,0 days 00:00:17.547861,prod,0.0007979903286373244,3,5,bell,COMPLETE
154,0.82,2025-10-01 11:41:49.536664,2025-10-01 11:42:07.060902,0 days 00:00:17.524238,prod,0.0007134994576881006,3,5,bell,COMPLETE
155,0.8218181818181817,2025-10-01 11:42:07.061332,2025-10-01 11:42:24.594454,0 days 00:00:17.533122,prod,0.0005459177709196807,3,5,bell,COMPLETE
156,0.7654545454545454,2025-10-01 11:42:24.594904,2025-10-01 11:42:41.880179,0 days 00:00:17.285275,min,0.0009244359956139858,4,4,bell,COMPLETE
157,0.8399999999999999,2025-10-01 11:42:41.880614,2025-10-01 11:42:59.406311,0 days 00:00:17.525697,prod,0.0006220025614342275,3,5,bell,COMPLETE
158,0.7072727272727274,2025-10-01 11:42:59.406772,2025-10-01 11:43:17.813044,0 days 00:00:18.406272,hamacher,0.0007122817958373611,3,5,bell,COMPLETE
159,0.82,2025-10-01 11:43:17.813476,2025-10-01 11:43:31.676293,0 days 00:00:13.862817,prod,0.0008089404821378376,3,4,sigmoid,COMPLETE
160,0.82,2025-10-01 11:43:31.676627,2025-10-01 11:43:50.660867,0 days 00:00:18.984240,frank,0.0009998573783691084,3,5,bell,COMPLETE
161,0.8036363636363635,2025-10-01 11:43:50.661328,2025-10-01 11:44:08.173141,0 days 00:00:17.511813,prod,0.0006438314526572066,3,5,bell,COMPLETE
162,0.7799999999999999,2025-10-01 11:44:08.173578,2025-10-01 11:44:25.689617,0 days 00:00:17.516039,prod,0.0007478427444721073,3,5,bell,COMPLETE
163,0.8399999999999999,2025-10-01 11:44:25.690063,2025-10-01 11:44:43.203654,0 days 00:00:17.513591,prod,0.0006815724777227083,3,5,bell,COMPLETE
164,0.8399999999999999,2025-10-01 11:44:43.204078,2025-10-01 11:45:00.723479,0 days 00:00:17.519401,prod,0.0005851866440690369,3,5,bell,COMPLETE
