number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
112,0.8683333333333334,2025-10-01 12:38:36.708610,2025-10-01 12:38:50.484860,0 days 00:00:13.776250,tanh,38,0.00018534267856935898,3,COMPLETE
113,0.8941666666666667,2025-10-01 12:38:50.485155,2025-10-01 12:39:04.304367,0 days 00:00:13.819212,tanh,43,0.00012987749915320472,3,COMPLETE
114,0.8675,2025-10-01 12:39:04.304782,2025-10-01 12:39:18.169505,0 days 00:00:13.864723,tanh,48,1.6382706351270833e-05,3,COMPLETE
115,0.8808333333333334,2025-10-01 12:39:18.169878,2025-10-01 12:39:31.929629,0 days 00:00:13.759751,tanh,40,0.0006976100853309722,3,COMPLETE
116,0.8275,2025-10-01 12:39:31.929922,2025-10-01 12:39:45.659647,0 days 00:00:13.729725,tanh,25,4.401389189131773e-05,3,COMPLETE
117,0.8675,2025-10-01 12:39:45.660063,2025-10-01 12:39:57.130895,0 days 00:00:11.470832,tanh,27,0.0006330446499406818,2,COMPLETE
118,0.8275,2025-10-01 12:39:57.131270,2025-10-01 12:40:13.070625,0 days 00:00:15.939355,tanh,34,3.324315398492648e-05,4,COMPLETE
119,0.8150000000000001,2025-10-01 12:40:13.070929,2025-10-01 12:40:22.247010,0 days 00:00:09.176081,tanh,38,9.47719316278276e-05,1,COMPLETE
120,0.5108333333333333,2025-10-01 12:40:22.247401,2025-10-01 12:40:35.996185,0 days 00:00:13.748784,sigmoid,41,8.104559282287748e-05,3,COMPLETE
121,0.8675,2025-10-01 12:40:35.996557,2025-10-01 12:40:49.813779,0 days 00:00:13.817222,tanh,43,8.973512946809291e-05,3,COMPLETE
122,0.8808333333333334,2025-10-01 12:40:49.814089,2025-10-01 12:41:03.639873,0 days 00:00:13.825784,tanh,45,6.860061587093856e-05,3,COMPLETE
123,0.8808333333333334,2025-10-01 12:41:03.640273,2025-10-01 12:41:17.448984,0 days 00:00:13.808711,tanh,42,0.0008888985126336949,3,COMPLETE
124,0.8808333333333334,2025-10-01 12:41:17.449365,2025-10-01 12:41:31.193249,0 days 00:00:13.743884,tanh,31,0.00011185039260107751,3,COMPLETE
125,0.8550000000000001,2025-10-01 12:41:31.193542,2025-10-01 12:41:45.124097,0 days 00:00:13.930555,tanh,47,0.00012542374595574273,3,COMPLETE
